,title,artist,lyrics
11,Manchester Girl,Eels,"She hides in the library reading Henry Miller books
'Til they flash the lights, it's time to go
When she was a little kid she said
""Dad, I don't know why I feel so penniless inside""

She's on the promenade
She's looking for a dress
She's locked outside a world
Just a Manchester girl

Oh, I'll meet you there
By the old newsstand
Oh, I'll meet you there tonight

Shoot out at a neighbor's house
She pulls the covers over her head
She's counting the shots as they go by

In Pandora's litter box
Well, it's getting mighty high
That cat's gonna keep her up at night

Another scary dream
Another cigarette
She's locked outside a world
Just a Manchester girl

Oh, I'll meet you there
By the old newsstand
Oh, I'll meet you there tonight"
12,The Turnaround,Eels,"Another morning in the evening
Times still on the floor
And I don’t even know her name
Or if she lives here
Had enough but I want more
I don’t remember how I got here
And how long it’s been now
A day or two, maybe more

On the whole must remains
Never wanted anyway
I always bit the hand that beat me
And they rode me off
It’s easy not to care

Never trusted anyone 
Don’t see why I should now
Fade some blinking never fair

You’re all gonna be sorry when I’ll leave town
And get it together, for the turnaround

6 bucks in my pocket and these shoes on my feet
The first step is out the door and onto the street
6 bucks in my pocket and these shoes on my feet
The first step is out the door and onto the street
6 bucks in my pocket and these shoes on my feet
The first step is out the door and onto the street
6 bucks in my pocket and these shoes on my feet
The first step is out the door and onto the street
6 bucks in my pocket and these shoes on my feet
The first step is out the door and onto the street
6 bucks in my pocket and these shoes on my feet
The first step is out the door and onto the street"
14,For You,Eels,"Where do you go when
The day is done
But you are not?
You look for a friend, but
Maybe I'm
All you got

Hard to pretend that I've always been here
Ready to be your man

And I heard sounds
Comin' through
The bedroom wall
Somebody cryin'
Echoin'
Down the hall

Never knew what it is to be a man
But now I know that I can

It's all here for you
It's all here for you

And when you need me
You know that I'm
Always here
It's not gonna be like
It ever was
Before, my dear

Hard to believe the dyin' words of a lyin' man
But that's not me
Here I am

It's all here for you
It's all here for you"
15,Looking Up,Eels,"Ah, it's looking up
Let me tell you what I mean
Used to be kind of bitter
Always had a babysitter
But I'm feeling much fitter
Now I'm pretty sweet
Back on my feet

Walking down the street
Yeah, I'm looking up
It's looking up

I used to be cruel
Kind of a tool
Like a damn fool
Now I'm oh-so-kind
Got no worried mind
I'm a real find
Yeah, it's looking up

I'm looking up
I'm looking up
It's looking up
Yeah, I'm looking up

I never had a clue, man
How it was gonna go
But it goes to show you
You just never know
It took a little while, but I'm a real fine man now
Never could, but I always can now

Time has healed me
Can you feel me looking up?
(Looking up)
Yeah, it's looking up
(Looking up)
I'm looking up
(Looking up)
Looking up
(Looking up)
(Looking up)
(Looking up)

I said
Time has healed me (Looking up)
Can you feel me looking up? (Looking up)
(Looking up)
I'm looking up
(Looking up)
I'm looking up
(Looking up)
Looking up
(Looking up)

It took a little while, but I'm a real fine man now (Looking up)
Never could, but I always can now (Looking up)

(Looking up)
(Looking up)
I'm looking up
(Looking up)
I'm looking up
(Looking up)
I'm looking up
(Looking up)
I'm looking up
(Looking up)
I'm looking up

(Looking up)
(Looking up)
(Looking up)
(Looking up)
(Looking up)
(Looking up)
(Looking up)
(Looking up)
(Looking up)
(Looking up)
(Looking up)
(Looking up)
(Looking up)

I'm looking up
(Looking up)
I'm looking up
(Looking up)
I'm looking up
(Looking up)
I'm looking up
(Looking up)
(Looking up)"
16,That's Not Really Funny,Eels,"Did you think that I would laugh
When you said I was small?
Did you think that that would pass
As if nothing at all?
You say a lot of funny things, my little bunny
And I almost always laugh
But that's not really funny

You play the little bells and tell a good story
You bake delicious pie and that's enough for me
But I am big I am your man 
And you're my little honey
And I like what you have to say
But that's not really funny

You must not continue to emasculate me
The neighbor children through the window
Clearly see
The little boy will wipe his nose because it's runny
Then point at me and laugh
But that's not really funny"
18,Buss Stop Boxer,Eels,"I don't miss where I came from
But each night I dream about being back home
When I wake up in the morning
I'm too tired
And tired of being alone

So I get up and go downtown
And pick me out a little piece of ground
Where I can prove something to the world
I can prove something to the world

Don't look at me
I'm the bus stop boxer

Daddy put us in the truck and
Dropped us off and said good luck
Then one lucky kid waiting for the bus
Made a winner out of one of us

Don't look at me
I'm the bus stop boxer

Going down to the railroad tracks 
Where people know that they better not relax
I'm the man
Baby I am the man
This is where I can make you understand"
19,Living Life,Eels,"Hold me like a mother would 
Like I've always known somebody should, yeah,
although tomorrow, it don't look that good 
Well, it just goes to show 

Though people say we're an unlikely couple 
I'm seeing double of you 

Oh,  

This is life 
And everything's all right 
Living living living living living living
living life 

Oh, hope for the hopeless
I'm learning to cope 
with the emotion-less mediocracy
Oh. 

Day-to-day living 

I cannot help but be restless
When everything seems so tasteless

And all the colors seem to have faded away. 

Oh, 
This is life 
 
And everything's all right 
Living living living living living living
living life 

Hold me like a mother would 
Like I've always known somebody should, yeah. 
although tomorrow, it don't look that good 
Well, it just goes to show 
Though people say we're an unlikely couple 
Doris Day, and Mott the Hoople 
 
Oh, 

This is life
And everything's all right 
Living living living living living living
living life"
21,Fashion Awards,Eels,"Let's go down to the fashion show
With all the pretty people that you don't know
We'll sit down in the velvet chairs
They'll hand awards out for best hair
And if we don't win one, well, then
We'll blow off our heads in despair
We'll blow off our heads in despair

I smell magic in the room
Flashing lights and sonic booms
Lovely saps all without a care
Nobody said that the world was fair
And if they did say so, well, then
We'll blow off our heads in despair
We'll blow off our heads in despair

Let's go down to the fashion show
With all the pretty people and piles of blow
We'll sit down in the velvet chairs
And hang on tight to our bus fare
And if it falls between the seats
We'll blow off our heads in despair
We'll blow off our heads in despair"
23,The Epiphany,Eels,"My old friend
I just want to go back
To that simpler time
When we were so happy and free
My old friend
Can I just go back?

My old friend
Please take me back
To those halcyon days
So far away now
Can I just go back?

I can't go back
But I can make today a memory to last"
24,If You See Natalie,Eels,"If you see Natalie
Send along this message
I know that you've been through
An awful lot of late

Girl,
Steady the trembling hand
That's what you do
Girl,
Steady your trembling hands
Then see what's in front of you

Friends and fortunetellers
They all say you're gonna die
If you don't brighten up
You know you gotta try

Girl,
Steady the trembling hand
That's what you do
Girl,
Steady your trembling hands
Then see what's in front of you

If you see Natalie
Send along this message
You may not need this world
But this world needs you here

Girl,
Steady the trembling hand
That's what you do
Girl,
Steady your trembling hands
Then see what's in front of you

You might not feel it now
But you're gonna get there
And see it somehow
You're gonna be alright, girl"
