,title,artist,lyrics
187,Steam Engine,Eels,"Well
Chuga chuga chuga chuga chuga chuga chuga

Steam engine
Rollin' down the tracks
Station bell ringin'
Gotta hurry back
Steam engine
Runnin' outta steam
Go out with a bang now
Do you know what I mean?

My daddy drank it black and so do I
Another day, another coffee and the years go by
Too much lemon, not enough honey
Makes baby grumpy baby with a grudge to feed

Steam engine (steam engine)
Rollin' down the tracks (rollin' down the tracks)
Station bell ringin'
(Gotta hurry back) gotta hurry back
Steam engine (steam engine)
Running outta steam (running outta steam)
Go out with a bang now
Oh man, what a scream

Sister said she's comin', she won't let me down
She knows my days are numbered and she wrote the number down
Always had it for me, so get it here soon
Man, we're gonna dance, just look at her move
Watch her move
Says I like it like that
Oh, she does

Steam engine (steam engine)
Rollin' down the tracks (rollin' down the tracks)
Station bell ringin'
(Gotta hurry back) gotta hurry back
Steam engine (steam engine)
Runnin' outta steam (runnin' outta steam)
Go out with a bang now
Yeah, that would be scream
See my engine gleam"
188,What I Have to Offer,Eels,"What I have to offer
Well, there's a lot
Now I'm a modest man
But look at all I got

For all the wear and tear
I look OK
I got good manners
And I make good good pay

And you know I'm all full of love
For you

What I have to offer
Well, there's so much
I care and nurture and a
Tender touch

I got a pleasin' disposition
And I don't care about
Football or fishin'

And you know that I'm all full of love
For you

What I have to offer
Well, check it out
I've learned some things
And I know what it's about

I'm quite discerning and
I'm pretty smart
It takes an awful lot to
Win my heart

But you know that I'm so full of love
For you"
189,It’s a Motherfucker,Eels,"It's a motherfucker
Being here without you
Thinking 'bout the good times
Thinking 'bout the bad
And I won't ever be the same

It's a motherfucker
Getting through a Sunday
Talking to the walls
Just me again
But I won't ever be the same
I won't ever be the same

It's a motherfucker
How much I understand
The feeling that you need someone
To take you by the hand
And you won't ever be the same
You won't ever be the same"
190,Trouble with Dreams,Eels,"There's nothing that I want to do
More than get alone and be with you
Trouble with dreams is they don't come true
And when they do they can't catch up to you

You don't need a thing from me
But I need something big from you
'Cause you know I've got an awful lot of big dreams

I'm walking down a lonely road
Clear to me now but I was never told
Trouble with dreams is you never know
When to hold on and when to let go

If you let me down it's alright
At least that leaves something for me
'Cause you know I've got an awful lot of big dreams

This is the life that I must lead now
Crossing fingers and wiping brow
Trouble with dreams is you can't pretend
Something with no beginning has no end

You don't need a thing from me
But I need something big from you
'Cause you know I've got an awful lot of big dreams"
191,"Oh, What a Beautiful Morning",Eels,"There's a bright golden haze on the meadow
There's a bright golden haze on the meadow
The corn is as high as an elephant's eye
And it looks like it's climbing clear up in the sky

Oh, what a beautiful mornin'
Oh, what a beautiful day
I got a beautiful feelin'
Everything's goin' my way

All the cattle are standin' like statues
All the cattle are standin' like statues
They don't turn their heads as they see me ride by
But a little brown maverick is winkin' her eye

Oh, what a beautiful mornin'
Oh, what a beautiful day
I got a beautiful feelin'
Everything's goin' my way

All the sounds of the earth are like music
All the sounds of the earth are like music
The breeze is so busy it don't miss a tree
And an old weepin' willer is laughin' at me

Oh, what a beautiful mornin'
Oh, what a beautiful day
I got a beautiful feelin'
Everything's goin' my way"
193,Feeling Good,Eels,"Fish in the sea, you know how I feel
River runnin' free you know how I feel
Blossom on the tree you know how I feel
Its a new dawn, its a new day, its a new life for me
And I'm feelin good

Dragonfly in the sun you know what I mean
Butterflies all havin' fun you know what I mean
Sleepin' peace when day is done that's what I mean
And this old world is a new world and a bold world for me

Stars when you shine you know how I feel
Scent of the crime you know how I feel
Your freedom is mine, and I know how I feel
Its a new dawn, its a new day, its a new life for me
And I'm feelin good"
194,On the Ropes,Eels,"Every time I find myself in this old bind
Watching the death of my hopes.
In the ring so long gonna prove them wrong
I'm not knocked out, but I'm not on the ropes

I've got enough I left inside this tired heart
to win this world and walk on my feet, know the trip

I may never get, everything I bet
but I'm a man who always copes
I'm hurting bad, and fight em at
I'm not knocked out, but I'm not on the ropes

Everything that I hold me didn't mean
'cause riding on this moment here and now, I know how

I've got enough I left inside this tired heart
to win this world and walk on my feet, no defeat

Gonna feel so good, when it's understood
but hold the rebirth of my hopes
In the ring so long gotta prove them wrong
I'm not knocked out, but I'm not on the ropes"
195,It's A Beautiful Day,Eels,"The smoke stack spittin' black soot into the sooty sky
the load on the road brings a tear to the indian's eye
the elephant wont forget what its like i..."
196,There I Said It,Eels,"You're gun shy
So am I
I understand with what you've been through

Why you wouldn't want to give it all away
Tender hearts masquerading
As badasses in training

You can drop the act
I won't attack
I love you
There, I said it

Funny girl
And funny guy
Just trying to laugh instead of cry

There's nothing funny about who you are to me
A pure heart needs protection
Sweet love and affection

Don't be afraid
I'm just gonna say it
I love you
There, I said it"
197,Sweet Scorched Earth,Eels,"I love the way your hair falls on your eyes
And the way the sun hits them as it dies
There's poison in the water and the sky
We'll hold onto each other if we fry

It's you and me forever, together
For all that it's worth
As long as we last on this sweet, scorched Earth

I love that you're my best friend and my wife
And I love our little family and our life
There's poison in the hearts of cheerless men
I only want to see it come to an end

It's you and me forever, together
For all that it's worth
As long as we last on this sweet, scorched Earth"
198,Good Night On Earth,Eels,"Once upon a time, mom and dad felt fine
Thought it was time for a birth
Ever since then the trouble never ends
But it's a good night on earth

Getting up and going is a sweet lament
Doing what you gotta do is all you got
Gather up the things and run to the void
Remember what you been taught
Soak it all in like tonic and gin
Everything for what it's worth
Is relative, but look, my friend
It's a good night on earth

Once upon a time, I was feeling fine
And you know that time is now
Nothing gonna wreck it, you know I can't deflect it
I always do so now
Everyone's a critic, I can't stand Eels
So says Colin Firth
Rain on my parade, then the clouds fade
It's a good night on earth"
200,Eyes Down,Eels,"Well, the sun is shining but it don't feel good
Don't smile down on this neighborhood
When I go walking through this stinking town
Mister, I keep my eyes down

The brotherhood of the misunderstood
Live and die here in all likelihood
You're livin' in this town
Better pray for sundown

And baby, when you go downtown
You keep your eyes down
You keep your eyes down

Fair-weather friends need not apply
The man of the house is not inside
Baby, I'm keeping my eyes down

Go with the flow, well, you've gotta be sick
Think I'd rather hear my heart not tick
But if you don't wanna wear a hospital gown
Better get out now or keep your eyes down

Fair-weather friends need not apply
The man of the house is not inside
Baby, I'm keeping my eyes down

Well, the sun is shining but it don't feel good
Don't smile down on this neighborhood
When I go walking through this stinking town
Mister, I keep my eyes down, I keep my eyes down"
201,Apple Trees,Eels,"We were on this car trip, 
And I was looking at these rows and rows of trees all along the highway. 
I don't know what kind of trees, 
Apples or something. 
There were just like thousands 
And thousands of rows of a thousand trees each. 

And I picked one tree that 
I could see about eight trees back in this one row in the middle. 
Just one in a billion. 
And that's how I felt."
202,Jeannie’s Diary,Eels,"How does her world spin
Without me in her nest?
Could there really be such happiness?

Oh, she's got a dark side too
Even murderous
But I love that
Just like her

I don't have a chance at writing the book
I just want to be a page
In Jeannie's diary
One single page
In Jeannie's diary

Yes I am intense
Maybe quite obsessed
Everything she does is curious

Oh, she's going to let me in
I just know it's so
Then again, who do I kid?

I don't have a prayer for writing the book
I just want to be a page
In Jeannie's diary
One single page
In Jeannie's diary

She could have anything she wants
So why not me?
She could have anything she dreams
Oh, to be one single page
One single page
In Jeannie's diary"
203,New Alphabet,Eels,"You know what?
I'm in a good mood today
Well I'm so happy
It's not yesterday
Man it was brutal
With glad use of tissues
I guess you could say
That I had issues

But it's looking good
I've dug my way out
I'm changing up
What the story's about

When the world stops making sense
Just taking what you can get
When the people on the street
Start looking like silhouettes
When the words just sound like noise
I need a new alphabet
When the world stops making sense
I make a new alphabet

Small thinking people
With their small thinking ways
I don't have time
To hear what they say
This is my world
I'm staking my claim
Thanks for the invite
No thanks just the same

It's looking good now
Full speed ahead
I'll live today
Like tomorrow I'm dead

When the world stops making sense
Just taking what you can get
When the people on the street
Start looking like silhouettes
When the words just sound like noise
I need a new alphabet
When the world stops making sense
I make a new alphabet

I see, everything
Is crystal clear
It's here

You know what?
I'm in a good mood today
Well I'm so happy
It's not yesterday
Man it was brutal
But it's all in the past
It's good to know it don't have to last

When the world stops making sense
Just taking what you can get
When the people on the street
Start looking like silhouettes
When the words just sound like noise
I need a new alphabet
When the world stops making sense
I make a new alphabet"
204,Souljacker Part I,Eels,"Twenty two miles of hard road
Thirty three years of tough luck
Forty four skulls buried in the ground
Crawling down through the muck
Oh yeah

Johnny don't like the teacher
Johnny don't like the school
One day Johnny is going to do somethin'
Show 'em he's nobody's fool
Oh yeah

[Chorus:]
Sisters brothers make better lovers
Family affairs down under the covers...
Trailer parks the broken hearts
Won't let you leave until you're bleeding

Sally don't like her daddy
Sally don't like her friends
Sally and Johnny watchin' TV
Waitin' for it to end
Oh yeah

[Chorus]

Twenty two miles of hard road
Thirty three years of tough luck
Forty four skulls buried in the ground
Crawling down through the muck
Oh yeah"
205,All in a Day's Work,Eels,"When I was born
The doctor said
There's something wrong
Inside that baby head
When I was a boy
In Sunday school
I told them all
That they were fools

All in a day's work
To live and breathe
A sight to see
And so it goes

I went into
The fortune teller's
She wouldn't read
My horoscope
I go into
The laundromat
The people all
Buy extra soap

All in a day's work
To live and breathe
A sight to see
All in a day's work
To live and breathe
A sight to see"
206,Your Lucky Day in Hell,Eels,"Mama grapped onto the milkman's hand
And then she finally gave birth
Years go by still I don't know
Who shall inherit this earth
And no one will know my name until it's on a stone

This could be your lucky day in hell
Never know who it might be at your doorbell
This could be your lucky day in hell

Waking up with an ugly face
Winston Churchill in drag
Looking for a new maternal embrace
Another tired old gag
Am I just a walking bag of chewed up dust and bones

This could be your lucky day in hell
Never know who it might be at your doorbell
This could be your lucky day in hell

Father Theresa you can't make me into you
I never want to be like you
Why can't you see it's me
You know it's time to let me go

This could be your lucky day in hell
Never know who it might be at your doorbell
This could be your lucky day in hell"
207,Who You Say You Are,Eels,"For some time now
Been alright on my own
Given the options
I'd rather be alone

Then you came along
And turned it upside down
And now I need to know
Just what it is I found

Are you who you say you are?
Someone I'll know for long
Or someone who doesn't deserve a song

Charming accents
Mask ugly things
There's not a lot I know about
What you stand to bring

And maybe it's all okay
And maybe I'm being unfair
But I learned the hard way
To be prepared

Are you who I think you are?
Someone I'll know for long
Or someone who doesn't deserve a song"
208,My Beloved Monster,Eels,"My beloved monster and me
We go everywhere together
Wearing a raincoat that has four sleeves
It gets us through all kinds of weather

[Chorus]
She will always be the only thing
That comes between me and the awful sting 
That comes from living in a world that's so damn mean

My beloved monster is tough
if she wants she will destroy you
but if you lay her down for a kiss
her little heart it could explode

[Chorus]"
209,Vice President Fruitley,Eels,"Vice President Fruitley
Vice President Fruitley
C'mon to where you need to go
Vice President Fruitley

I think you know where I'm goin'
This song is all about you
I wanna be with you
Every day and night
'Cause I say...

Vice President Fruitley
I think you know what to wear
Vice President Fruitley
I'm really glad you're not square
Vice President Fruitley
Oh, come on, baby
Oh, baby, baby, baby
I really think that maybe we could go
Vice President Fruitley
Vice President Fruitley
Vice President Fruitley
Vice President Fruitley

Vice President Fruitley
Oh, I think you're cool
Vice President Fruitley
Come on, let's drool
Vice President Fruitley
Vice President Fruitley
Vice President Fruitley
La dee da doo..."
210,Hidden Track,Eels,"so you've got balls now
marie on the run
down on newberry street
seventeen seconds of fun

apes are overrated, blucky
a kinky batch of pudding, yay!
garbage dump pumpkin rot
and candy apple gray

werewolf in a flower bed
perfect day for lucky guy
this song was never meant to be released
what's that flaming ball in the sky?

the crack head from texas
he can read my feet
a bruised pinata
and a liquid pixie

if friends were flowers
nothing gold can stay
consexual sense
and squeegee tales

bees in the cookie jar
symphonic despair
reinventing the manifesto
i, you, we ... don't care

jacuzzi's and bunnies
a broken fondue set
koool g is in the outhouse
you can be my mr. french

this old frisbee
is shitting in the alley
i saw a naked picture of me on the internet
wearing jesus's new snowshoes
golly gee

if hell is crowded, then we shall sing
a hip song for the kids in the back
for michele & the dripping of a faucet
ride the vicious bicycle on the tracks

olympic mayonnaise, dr. thunder!
low occupancy vehicle stops and starts
with hollywood suspicion
the doctor had snake parts"
211,Love Of The Loveless,Eels,"Don't got a lot of time
Don't give a damn
Don't tell me what to do
I am the man
If there's a god up there
Something above
God, shine your light down here
Shine on the love
Love of the loveless
Love of the loveless

Don't have too many friends
Never felt at home
Always been my own man
Pretty much alone
I know how to get through
And when push comes to shove
I got something that you need
I got the love
Love of the loveless
Love of the loveless
Love of the loveless
For love of the loveless

All around you people walking
Empty hearts and voices talking
Looking for and finding
Nothing

Don't got a lot of time
Don't really care
Not selling anything
Buyer beware
If there's a god up there
Something above
God, shine your light down here
Shine on the love
Love of the loveless
Love of the loveless
Love of the loveless
For love of the loveless

Don't got a lot of time
Don't give a damn
Don't tell me what to do
I am the man
Love of the loveless
Love of the loveless
For love of the loveless
Love of the loveless"
212,Today Is the Day,Eels,"Today is the day that I chuck
Everything I thought out the door
Today is the day I ask myself
What the hell was I living for, that's right

Today is the day it starts right here
Don't gotta thing to worry about now
Today is the day it starts right here

I thought about it, and it's kinda strange
Everything that I tried so hard
I thought about it and I gotta say
I had it wrong right from the start, that's right

Today is the day it starts right here
Don't gotta thing to worry about now
Today is the day it starts right here
Come on man, and don't you worry now

Everything that I thought that I believed
Oh baby, was all so clear to me
But now I know that I was wrong
It's gone, it's gone, gone, gone
It's alright now

Today is the day that you see me
As a man who will always change
Who knows the only things to count on
Are life is quick, and life is strange, that's right

Today is the day it starts right here
Don't gotta thing to worry about now
Today is the day it starts right here
Come on man, and don't you worry now

Today is the day it starts right here
Don't gotta thing to worry about now
Today is the day it starts right here
Come on man, and don't you worry now

I don't know if you'll come along
I just wanted to sing my song about change
Today is the day"
213,"Wonderful, Glorious",Eels,"The sum of all your experiences 
A living breathing result of the fight
And every night you spent shrouded in darkness
Has led you to this moment in the light, it's alright

Wonderful 
Glorious 
Wonderful 
Glorious 

Ah ah ah ah, ah ah 

Wonderful 
Glorious 

The sum of all the love inside your heart 
Will get you through your plight, it's alright

Wonderful 
Glorious 

My love is beautiful it's here for the taking
It's strong and pure and utterly earth shaking 
My love has brought me here to show you it's true 
A wretch like me, you make it through"
214,Rags to Rags,Eels,"There's a spider crawling on the bathroom mirror
Right on top of my right eye
And I can't stop staring back
How did I get this way?
Take a big look at a living lie

Rags to rags and rust to rust
How do you stand when you've been crushed?
So rags to riches was a bust

Sometimes I dream about it what it's like back home
The railroad tracks and the pussy willow
But I had to leave it and I go back
Whenever my tired head hits the pillow

Rags to rags and rust to rust
How do you stand when you've been crushed?
So rags to riches was a bust

Busted once again
But I'll show them one day
That I can buy and sell the world

One day I'll come through with my American dream
But it won't mean a fucking thing

Rags to rags and rust to rust
How do you stand when you've been crushed?
So rags to rags and rust to rust (don't let me go)
Rags to rags and rust to rust (don't let me go)
Rags to rags and rust to rust (don't let me go)"
215,Baby Genius,Eels,"Baby genius
Look how you've grown
Where do you go from here?
Didn't we have some good times
After all is said and done?

Small body and small mind
Big head and big headaches
My back is broken
Baby genius
Find a new ride"
216,I Write the B-Sides,Eels,"I write the B-sides
That make a small portion of the world cry
I like the seaside
And singing songs that make you not wanna die
Throw a stone into the sea
And wait for it to come back to me
Better get out on the boat
Cause someone told me that stones don't float

I like to sit out back
And look up at the squirrels in the trees
They don't like radio tracks
And they don't ever talk down to me
Throw a nod up in the tree (?)
Gonna fall right back on me
Well these guys know who they are
And what they need's in their own backyard

Oooh oooh

I like to flay in snow
I stick my hand in, now where did it go
It might be mighty cold
But that's all part of not doing what you're told"
217,Blinking Lights (For Me),Eels,"Blinking lights on the airplane wings
Up above the trees
Blinking down a morse code signal
Especially for me

Ain't no rainbow in the sky
In the middle of the night
But the signal's coming through
One day I will be alright again

Blinking lights on the highway cars
Stopping one by one
Get a look at the accident
Didn't see that one coming

And the doctor in the sky
Gonna bring his chopper down
Gonna bring me out alive
And set me on the ground
Once more again

Blinking lights on the airplane wings
Up above the trees"
218,Efil's God,Eels,"Efils good and the time is right
I'll bundle up and slip away
The count is down and the drip is up
It's time to split this hunk of clay

Now you can bring my suitcase
But you can't bring me
And you can have all the money
Cause you say that you must
But if you think that it matters
Take a look at me
And don't close your eyes as i turn into dust

Efils good
Don't tell me that i can't do this
As if you knew
But you don't know
How Efils good"
219,Unhinged,Eels,"You need help, baby, you've come unhinged
It's clear to everybody, you're on the fringe
Thought I'd stay until I died
But the twinkle in your eye is gone
And now all that's left is a mean old girl behind 
Your crazy eyes

We were good together, as good as it gets
I only wanted to help you from the day we met
And I'm sleeping on the couch for months on end
You were more than my girl
You were my best friend
All that's left is a mean old girl behind 
Her crazy eyes

I defy you to defy me
In your crazy state
You don't which way is up
And it's way too late
To ever fix all of the things
That you did break
Not least of which
Is my heart"
221,This is Where It Gets Good,Eels,"With a lustful admiration
I look upon you
Can't wait until tomorrow
The things that we'll do

And this
Is where
It gets good

Permission to speak freely?
Well, I really must confess
I can't stop thinking 'bout you
Gettin' out of your dress

And this
Is where
It gets good

The sky in your eyes
The earth in your touch
The spirits come together
Well, it's almost too much

And this
Is where
It gets good"
222,Are You Fucking Your Ex,Eels,"Where were you when I called last night?
Disappeared, we didn't even have a fight
My love is strange
Everything feels broken now
Don't know for sure, just know some how
My love it's done

I'm all alone in a house of horror
Evil lurks from the darkest corner
My heart is black
I get it, everyone likes sex
But I need to know
Just what is going on the late night's out
The days you disappear, I have to ask
Are you fucking your ex?

Where were you when I called last night?
Disappeared, we didn't even have a fight
My love, so strange
I get it, everyone likes sex
But I need to know
Just what is going on the late night's out
The days you disappear, I have to ask
Are you fucking your ex?
Are you fucking your ex?
Are you fucking your ex?
My love, so strange"
225,I Got Hurt,Eels,"It's a sore subject
That I'd rather not address
How did I get here
Into such an ugly mess
Got myself carried away
Despite all common sense
How could I be so dense

I got hurt
Oh yeah
And it didn't feel good

I got hurt, oh my Lord
And I got hurt good

It's a good day when 
I know there's not a chance
For anyone or anything
To mess with my stance

Let the time pass the way
I need for it to pass
If you need me don't ask

I got hurt
Oh yeah
And it didn't feel good

I got hurt, oh my Lord
And I got hurt good
And I'm never going back
That scene has gone to black
There's no way to make me see
What I was will never be

It's a sore subject
But it has to be addressed
All of the destruction 
Well it needs to be assessed
Let myself get away
Although the odds were bad
How did I get so sad

I got hurt
Oh yeah
And it didn't feel good

I got hurt, oh my Lord
And I got hurt good"
226,The Bright Side,Eels,"Shut up, you don't have to shout it
It's fucked up if you think about it too long
Feelin' like I'm all used up
Half empty, it's a broken cup, that's all
You little fool, you could be happy
Come take my hand, we'll go for a ride
Shut up, you don't have to remind me
It's not enough to fully blind me from it
Feeling like a stupid asshole
Take me now, if this is it this sucks
You little fool, you could be happy
Come take my hand, we'll go for a ride
Look up ahead, off in the distance
The sun is shining on the bright side"
227,Eight Lives Left,Eels,"eight lives left
one chapter down
still nothing new
in this old town


i'd like to spend at least
one life with you
eight lives left
and a heart that ..."
228,Your Mama Warned You,Eels,"Your mama warned you, she was probably right 
Said I be trouble all day and all night 
She said my kind is not to take an old kind 
She told them better was out there to find 
Your mama warned you and she doesn’t needs words 
A life with him high that’s for the birds 
She said you listen and you take it from me 
You just can’t be what he needin to be 
But you can’t believe everything she says 
There’s a home called heaven within my head 
You know that I mean well 

Your mama warned you with an arrogant tone 
Don’t be a fool girl leave him alone 
She so superior and so she just think 
But I don’t trust someone who’s eyes never blink 
No, you can’t believe everything she says 
There’s a home called heaven within my head 
You know that I mean well 

All the things she’ll never understand 
I’ll know she’ll never be a fan 
But she’s not you 

Your mama warned you, she was probably right 
Said I be trouble all day and all night 
She said my kind is not to take an old kind 
She told them better was out there to find 
And you can’t believe everything she says 
There’s a home called heaven within my head 
You know that I mean well 
Your mama warned you."
229,The Beginning,Eels,"She put on her party dress
I put on my jacket
We walked out the door
Didn't have nowhere to go
Didn't matter that the night was getting cold

Pulled her close up to me to keep her warm
And everything was beautiful and free
In the beginning

She woke up late in the morning
I pulled the curtain back
The sun came pouring in
There wasn't no one in the world
There wasn't nothing else
Just me and my girl

She put her arms around me
Gave me a kiss
And everything was beautiful and free
In the beginning"
230,Nowadays,Eels,"Nowadays I keep to myself
Everybody else can look some other way
Things I say seem to get me into trouble
That I've been through for too many days

And trouble is a friend of mine
I'd like to leave behind
I like my friends more refined

Things I lose
Weighing on my heart
Every time I start to think
Maybe it's through

A little lie
Goes a long way when you can't say
Quite for sure what's the truth
The truth is something no one really
Wants to hear you say
Just how you doin' and have a nice day

Nowadays you go for a walk
Better not stop and wave or say hello

Just this song
People will spit, give you shit
Just for looking at them
And walking too slow

Slowly and methodically
I'll lock the world away
Haunted by my better days"
231,Be Hurt,Eels,"I know, you made a big mistake
You left a lot of damage
Floating in the wake
Though your actions were unwise
You'll still see the sunrise

Be hurt
The world can take it
And so can you
Come on, be hurt
You know that you can take it
I'm not gonna let it destroy you

Look here, you're more than your mistakes
It's just how it goes sometimes
Your heart may have to break
Though it feels like it's the end
You can't see around the bend

Be hurt
The world can take it
And so can you
Come on, be hurt
You know that you can take it
I'm not gonna let it destroy you

I know, you think you've lost your way
You need a lot of courage
To face another day
As you stumble through the night
Know you're gonna win the fight

Come on, be hurt
The world can take it
And so can you
I know it I do
Come on, be hurt
You know that you can take it
I'm not gonna let it destroy you
Come on, be hurt
It's alright
I'm not gonna let it destroy you"
233,Dust of Ages,Eels,"This is the day
That I give myself up

The dust of ages
Settles on your days
And so you shake your cloak off
And get on your way

Bloodshot and trembling
A new day has begun

The dust of ages
Settles on your days
And you blow it all away
And get on your way

The dust of ages
Settles on your days
But I'm not fuckin' around anymore
I'm on my way"
234,P.S. You Rock My World,Eels,"I was at a funeral the day I realized
I wanted to spend my life with you
Sitting doen on the steps at the old post office
The flag was flying at half-mast
And I was thinkin' 'bout how everyone is dying
And maybe it's time to live

I don't know where we're going
I don't know what we'll do

Walked in to the Thrif-tee
Saw the man with the hollow eyes who didn't give me all the change
But it didn't bother me this time 'cause I know I've only got this moment
I went to the gas station
Old woman honked her horn
Waiting for me to fix her car

I don't know where we're going
I don't know what we'll do

Laying in bed tonight I was thinking
And listening to all the dogs
And the sirens and the shots
And how a careful man tries
To dodge the bullets
While a happy man takes a walk

And maybe it's time to live"
236,All In a Day’s Work,Eels,"When I was born
The doctor said
There's something wrong
Inside that baby head
When I was a boy
In Sunday school
I told them all
That they were fools

All in a day's work
To live and breathe
A sight to see
And so it goes

I went into
The fortune teller's
She wouldn't read
My horoscope
I go into
The laundromat
The people all
Buy extra soap

All in a day's work
To live and breathe
A sight to see
All in a day's work
To live and breathe
A sight to see"
237,After the Operation,Eels,"After the operation
I was in a lotta pain
But I look fondly on it
Just passin' all the days in a haze
Layin' on the couch
And watchin' TV
After the operation
I didn't have a care
I'd spend whole afternoons

Just layin' there
While I stared
At things in the room
That made me think
After the operation
I ate a lotta junk
I'd drift off and fall asleep
And have these little dreams
Where I'm feeling
Back to my old self again"
240,Bone Dry,Eels,"In my dream, I see you there
Your eyes fixed in a vacant stare
A little laugh, a crooked smile
Don't lift a finger while I lay dying

Bone dry
You drank all the blood
My heart is bone dry
Can't give you more 'cause you took all of it (Sha la la)

Was a day when I did believe
The things you say are what you mean
Dear sweet, innocent me
How much you took from me to finally see

Bone dry
You drank all the blood
My heart is bone dry
Can't give you more 'cause you took all of it (sha la la, sha la la)

Sha la la
Shouby dooby dooby doo
Shouby dooby
Shouby dooby dooby doo

What becomes a man like me
Drifting off, lost at see
I'll set a fire look up for it
Lookin' for me, I'm a pink sunset

Bone dry (sha la la)
You drank all the blood
My heart is bone dry (sha la la)
Can't give you more 'cause you took all of it (Sha la la)

Bone dry, who!
(Sha la la) bone dry, whoo!
You took all of it (sha la la)
Sha la la
Sha la la

Sha la la"
242,Peach Blossom,Eels,"Oh man, feel so nice
That was a long cold night
But then the sun came out to thaw the ice

Open the window man to smell the peach blossom
The tiger lily, the merry-gold
Oh look at her, she’s got something to say
And I cant wait to hear it
Won’t let her get away

Open the window man to smell the peach blossom
The tiger lily, the merry-gold
Oh yeah, oh my goodness
You gonna love what’s happening in here
There ain’t nothing for me to fear

Open the window man to smell the peach blossom
The tiger lily, the merry-gold
Open the window man to smell the peach blossom
The tiger lily, the merry-gold

Open the window man to smell the peach blossom
The tiger lily, the merry-gold
Open the window man to smell the peach blossom
The tiger lily, the merry-gold"
243,A True Original,Eels,"She’s a true original
Not some store bought rebel
She can find her own way and whom
You’ll just have to let her

Whichever every path she finds 
It’s hers to take
And if she says she’s fine
I’ll just have to wait for her

She’s an artist in the world
She composes from the heart
The finish on he’s always there
Well before she starts

And any time she might
Get the words from
You just turn it up and you
You sing along with her

And if a gun was pointed at her
I would stand between the bullet and her
And if not being with me is what makes her happy
I’d take that bullet too

Whichever every path she finds 
It’s hers to take
And if she says she’s fine
I’ll just have to wait for her

She’s a true original"
244,Manchild,Eels,"And every time you crave for me, 
I'm here.

And anything you hunger for,
I'll share.

And I will be quietly standing by,
While slowly I am dying inside.

Hold me in your arms,
And let me be the one who can feel,
Like I am a child in love.

Every time I talk to you,
You're down.

And every time you need a laugh,
I'm around.

And when you forget I'm here,
I'm not.
It isn't really me that you forgot.

Hold me in your arms,
And let me be the one who can feel,
Like I am a child in love.

Whisper now,
And tell me how,
You watch and tell me,
Somehow, 
I'm gonna be alright."
245,Something Is Sacred,Eels,"Taking a walk down to the mall
Smelling piss and beer and gas
That could be me in a couple years
Suckin' fumes under the highway pass

On a rainy day
While I wear newspapers for pants
And a T-shirt that says "" Damn I'm good ""

People look funny when they cry
'Cause they just can't let it hide
Typing into your little box
Press the cry button
It unlocks

On a rainy day
No one has a thing to say
Easier to look the other way

Take a look in the killer's eyes
And you see there's nothing there
But something is sacred in your eyes
And something to believe

On a rainy day
And as the world will blow to bits
I'll cradle you and hold you tight"
246,My Timing Is Off,Eels,"My timing is off
She isn't ready for my love
It's all that I got
But it's a pretty big thing
That she should recognize
The truth between us cannot hide

She knows that it's real
But the situation doesn't fit
I know what I feel

And I know that this is really
Everything it's all about
And I don't have a single doubt

My timing is off
But sometimes that's how it all works
Believe it or not
We don't have a choice
In matters of the heart

Just gotta be brave enough
To love and let yourself be loved
My timing is off
And I'm not worried 'bout a thing

She knows that it's real
She couldn't throw it all away
For fear of happiness
This isn't like that other mess"
247,Saturday Morning,Eels,"Saturday morning
Who's gonna play with me?
Six in the morning, baby
I got a long, long day ahead of me

The parents are sleeping soundly
The neighbors are dead as wood
I'm getting up and coming over
We gotta rock the neighborhood

Nothing's ever gonna happen 'round here
If we don't make it happen
Sleep away the day if you want to
But I got something that I gonna do

It's Saturday morning
And this ain't the place for me
I'm giving you warning, baby
We got a whole big, fat world to see

Nothing's ever gonna happen 'round here
If we don't make it happen
Sleep away the day if you want to
But I got something that I gonna do

It's Saturday morning
And who's gonna play with me?
Six in the morning, baby
I got a long, long day ahead of me

Saturday morning
Saturday morning"
248,Altar Boy,Eels,"A monk with a hard-on
And a lavender robe
That scratches his thighs
Through the hat that he strode
As he follows a path
Filled with every desire
And mimics his footsteps
And sets his prayers on fire.

Well I too have chosen
That which left no choice
To sing without loving,
A solitary voice,
To observe with passion
Each careful denial:
The protrusions which give my life meaning
For a while.

Sometimes I see you in berries and weeds
You're brushing your teeth with liquorice seeds
Standing too close,
Pulling your clothes,
Smiling at god
And the meaning of life grows.

No and I'll never tell
And I'll never know
What candles you light
After the show
And I'll never tell,
And I'll never ask
The meaning of life after mass."
249,Jehovah's Witness,Eels,"jehovah's witness leave me alone
jehovah's witness i'm not at home
keep on a-knockin' and ringin' the bells
knockin' your way straight to hell


jehovah's witness let's not pretend
that for one second you are my friend
knock on my door and i'll turn out the light
close the curtains and turn in for the night


jehovah's witness why must it be
just when i'm feeling good i look out and see
you walking up in your very nice suit
like i'm some old lady who'll give up her loot


jehovah's witness leave me alone
jehovah's witness i'm not at home"
